reg,zona,pacto,partido,cupo,orden,nombre,nombre_full,edad,sexo,profesion,web,x,facebook,instagram,tiktok,texto,cargos,elecciones,tag,foto,id_foto,patrimonio
XV,6001,B,IND,AH,51,Ricardo Sanzana,Ricardo Luis Sanzana Oteíza,49,H,Abogado,,rsanzanao,ricardoluis.sanzanaoteiza,ricardosanzana_oficial,,"Ex Delegado Presidencial Regional de Arica y Parinacota, también fue gobernador de la provincia de Arica. Abogado de la U. de Tarapacá.",2022-2024;P;Arica y Parinacota|2015-2018;O;Arica,2021;D;1;X;FRVS;3326;4.13|2021;A;Arica;X;IND;7096;11.14,O,Y,5000,1506508
XV,6001,B,AH,AH,52,Leonardo Valenzuela,Leonardo Wilson Valenzuela Atenas,44,H,Profesor de Matemáticas,,,profile.php?id=61555183918499,leonardovalenzuelaa,,"Ex Seremi de Salud en Arica y Parinacota. Profesor de Matemáticas de la U. de Tarapacá, especializado en estadística. Fue candidato a consejero regional.",2022-2024;E;Salud-XV,2013;R;Arica;X;IND;564;0.95,P,Y,5001,1506423
XV,6001,B,IND,AH,53,Paulina Saldía,Paulina Patricia Saldía Pinto,31,M,Kinesióloga,,,candidata.paulinasaldia.cl,,,"Kinesióloga de la U. Santo Tomás, ha trabajado en la salud pública y privada. Fue dirigente estudiantil.",x,x,N,Y,5002,1504629
XV,6001,B,FRVS,FRVS,54,Luis Paredes,Luis Alejandro Paredes Escanilla,30,H,Abogado,,,profile.php?id=61576691034497,luisalejandroparedesescanilla,,Abogado de la U. de Tarapacá.,x,x,N,Y,5003,1506076
XV,6001,C,PL,PL,55,Luis Malla,Luis Fabián Malla Valenzuela,33,H,Ingeniero de Ejecución en Administración de Empresas,,luis_malla,luismalladiputado,luis.malla,luis.malla,Actual diputado por el Distrito 1 de Arica y Parinacota. Fue dirigente sindical y ex concejal de Arica. Ingeniero de Ejecución en Administración de Empresa de la U. Tecnológica - Inacap. Fue fundador del Consejo Binacional de la Juventud (Arica - Tacna).,2022-2025;D;1|2016-2021;C;Arica,2021;D;1;G;PL;2689;3.34|2016;C;Arica;G;IND;1308;2.91,R,Y,5004,1503948
XV,6001,C,DC,DC,56,Jorge Díaz,Jorge Elías Gregorio Díaz Ibarra,43,H,Abogado,www.jorgediaz.cl,jorgediazxv,jorgediazxv,jorgediazxv,jorgediazxv,"Ex gobernador regional de Arica y Parinacota, fue también presidente del Consejo Regional. Abogado de la U. de Tarapacá, ha trabajado en municipios de Arica y Camarones. Ex dirigente estudiantil.",2021-2024;G;Arica y Parinacota|2018-2020;R;Arica y Parinacota,2024;H;Arica y Parinacota;X;DC;61352;45.54|2024;G;Arica y Parinacota;S;DC;39942;29.92|2021;H;Arica y Parinacota;G;DC;20385;57.65|2021;G;Arica y Parinacota;S;DC;18407;27.44|2020;F;Arica y Parinacota;N;DC;2805;63.33|2017;R;Arica;G;IND;2063;3.20,P,Y,5005,1506450
XV,6001,C,PPD,PPD,57,Giovanna Calle,Giovanna Marisol Calle Capuma,52,M,Matrona,giovannacalle.cl,,profile.php?id=61579891029258,giovanna.callec,,"Matrona de la U. de Tarapacá, se ha desarrollado en el sector público de la salud.",x,x,N,Y,5006,1504925
XV,6001,C,PS,PS,58,Sandra Flores,Sandra América del Carmen Flores Contreras,55,M,Psicóloga y Profesora de Historia y Geografía,,,sandrafloresarica,sandraflorescontreras,,"Ha sido directora regional de la Junji en Arica y Parinacota. Psicóloga de la U. Bolivariana y Profesora de Historia y Geografía de la U. de Tarapacá, magíster en Currículum y Evaluación. Ha sido docente y directora académica.",x,x,N,Y,5007,1504692
XV,6001,D,PH,PH,59,Juan Tancara,Juan Jacobo Tancara Chambe,53,H,Escritor,,,Dr.JuanJacoboTancara,dr.juanjacobotancara,,"Ex candidato a gobernador de Arica y Parinacota. Licenciado en Literatura en la U. Mayor de San Andrés y Licenciado en Ciencias Teológicas del a U. Bíblica Latinoamericana, magíster en Teología y doctor en Filosofía, Teología y Literatura. Académico, inverstigador y docente universitario. Escritor y gestor cultural.",x,2024;G;Arica y Parinacota;X;PH;4449;3.33|2021;D;1;X;IND;931;1.16,O,Y,5008,1505643
XV,6001,D,IND,PH,60,Ana Carvajal,Ana Andrea Carvajal Maripán,37,M,Abogada,,,az.mapu.2025,,,"Abogada de la U. de Tarapacá, magíster en Políticas Públicas. Se ha desarrollado de forma independiente. Fue vicepresidenta de la Fundación Realidad Inclusiva Arica.",x,x,N,Y,5009,1504376
XV,6001,D,IND,PH,61,Roberto Flores,Roberto Samuel Flores Salgado,51,H,Profesor de Castellano,,,floresalgado,floresalgado_,,"Profesor de Castellano de la U. de Tarapacá, magíster en Literatura. Docente y jefe técnico en organizaciones educativas. Escritor, ha sido novelista.",x,x,N,Y,5010,1504918
XV,6001,F,PTR,PTR,62,Camilo Jofré,Camilo Martín Jofré Cañipa,38,H,Profesor de Matemáticas y Computación,,,diosporquemehasabandonado,camilojofre_,,"Ex dirigente estudiantil en la FESAP, ha sido parte activa en Coordinadora No+AFP. Fue candidato a la Convención Constitucional. Docente en el sistema público.",x,2024;C;Arica;X;PTR;2226;2.03|2021;D;1;X;PTR;703;0.87|2021;V;1;X;PTR;780;1.36,O,Y,5011,1506219
XV,6001,H,POP,POP,63,Oscar Palleres,Oscar Boris Palleres Flores,57,H,Licenciado en Derecho y Antropología,,,oscar.palleres.77,oscarpalleresdiputadopopular,,Gestor cultural y de participación social. Ha trabajado para el Gobierno Regional de Arica y Parinacota. Licenciado en Derecho en la U. de Concepción. Ex candidato a la Convención Constitucional.,x,2021;R;Arica;X;IND;420;0.57|2021;V;1;X;IND;962;1.68,P,Y,5012,1506150
